Date,Closing_price
4/29/2019,98.123001
5/6/2019,94.499001
5/13/2019,93.449997
5/20/2019,91.164001
5/27/2019,88.753502
6/3/2019,90.2015
6/10/2019,93.483498
6/17/2019,95.565002
6/24/2019,94.681503
7/1/2019,97.1455
7/8/2019,100.550003
7/15/2019,98.225998
7/22/2019,97.152496
7/29/2019,91.162003
8/5/2019,90.378998
8/12/2019,89.628502
8/19/2019,87.481003
8/26/2019,88.814499
9/2/2019,91.675499
9/9/2019,91.967003
9/16/2019,89.708
9/23/2019,86.272499
9/30/2019,86.982498
10/7/2019,86.596001
10/14/2019,87.875504
10/21/2019,88.066498
10/28/2019,89.571999
11/4/2019,89.293999
11/11/2019,86.974503
11/18/2019,87.286003
11/25/2019,90.040001
12/2/2019,87.580002
12/9/2019,88.046997
12/16/2019,89.324997
12/23/2019,93.489998
12/30/2019,93.748497
1/6/2020,94.157997
1/13/2020,93.236
1/20/2020,93.082001
1/27/2020,100.435997
2/3/2020,103.963997
2/10/2020,106.7435
2/17/2020,104.7985
2/24/2020,94.1875
3/2/2020,95.054497
3/9/2020,89.25
3/16/2020,92.304497
3/23/2020,95.004997
3/30/2020,95.329498
4/6/2020,102.138
4/13/2020,118.75
4/20/2020,120.511002
4/27/2020,114.302002
5/4/2020,118.980499
5/11/2020,120.488998
5/18/2020,121.844002
5/25/2020,122.1185
6/1/2020,124.150002
6/8/2020,127.250999
6/15/2020,133.750504
6/22/2020,134.643494
6/29/2020,144.514999
7/6/2020,160
7/13/2020,148.098495
7/20/2020,150.445496
7/27/2020,158.233994
8/3/2020,158.373001
8/10/2020,157.401001
8/17/2020,164.235992
8/24/2020,170.089996
8/31/2020,164.731003
9/7/2020,155.811005
9/14/2020,147.745499
9/21/2020,154.7565
9/28/2020,156.25
10/5/2020,164.332504
10/12/2020,163.635498
10/19/2020,160.220001
10/26/2020,151.807495
11/2/2020,165.568497
11/9/2020,156.440506
11/16/2020,154.970001
11/23/2020,159.766998
11/30/2020,158.128998
12/7/2020,155.820999
12/14/2020,160.082504
12/21/2020,158.634506
12/28/2020,162.846497
1/4/2021,159.134995
1/11/2021,155.212494
1/18/2021,164.611496
1/25/2021,160.309998
2/1/2021,167.607498
2/8/2021,163.885498
2/15/2021,162.494995
2/22/2021,154.6465
3/1/2021,150.022995
3/8/2021,154.474503
3/15/2021,153.748001
3/22/2021,152.601501
3/29/2021,158.050003
4/5/2021,168.610001
4/12/2021,169.972
4/19/2021,167.044006
4/26/2021,173.371002
5/3/2021,164.580505
5/10/2021,161.145004
5/17/2021,160.154007
5/24/2021,161.153503
5/31/2021,160.311005
6/7/2021,167.341507
6/14/2021,174.345001
6/21/2021,170.072998
6/28/2021,175.548996
7/5/2021,185.966995
7/12/2021,178.681503
7/19/2021,182.832001
7/26/2021,166.379501
8/2/2021,167.246994
8/9/2021,164.698502
8/16/2021,159.997498
8/23/2021,167.481506
8/30/2021,173.902496
9/6/2021,173.457504
9/13/2021,173.126007
9/20/2021,171.276001
9/27/2021,164.162994
10/4/2021,164.431
10/11/2021,170.451004
10/18/2021,166.777496
10/25/2021,168.621506
11/1/2021,175.949493
11/8/2021,176.257507
11/15/2021,183.828506
11/22/2021,175.227997
11/29/2021,169.489502
12/6/2021,172.212006
12/13/2021,170.017502
12/20/2021,171.068497
12/27/2021,166.716995
1/3/2022,162.554001
1/10/2022,162.138
1/17/2022,142.643005
1/24/2022,143.977997
1/31/2022,157.639496
2/7/2022,153.293503
2/14/2022,152.601501
2/21/2022,153.788498
2/28/2022,145.641006
3/7/2022,145.524506
3/14/2022,161.250504
3/21/2022,164.773499
3/28/2022,163.559998
4/4/2022,154.460495
4/11/2022,151.706497
4/18/2022,144.350006
4/25/2022,124.281502
5/2/2022,114.772499
5/9/2022,113.055
5/16/2022,107.591003
5/23/2022,115.1465
5/30/2022,122.349998
6/6/2022,109.650002
6/13/2022,106.220001
6/20/2022,116.459999
6/27/2022,109.559998
7/4/2022,115.540001
7/11/2022,113.550003
7/18/2022,122.419998
7/25/2022,134.949997
8/1/2022,140.800003
8/8/2022,143.550003
8/15/2022,138.229996
8/22/2022,130.75
8/29/2022,127.510002
9/5/2022,133.270004
9/12/2022,123.529999
9/19/2022,113.779999
9/26/2022,113
10/3/2022,114.559998
10/10/2022,106.900002
10/17/2022,119.32
10/24/2022,103.410004
10/31/2022,90.980003
11/7/2022,100.790001
11/14/2022,94.139999
11/21/2022,93.410004
11/28/2022,94.129997
12/5/2022,89.089996
12/12/2022,87.860001
12/19/2022,85.25
12/26/2022,84
1/2/2023,86.080002
1/9/2023,98.120003
1/16/2023,97.25
1/23/2023,102.239998
1/30/2023,103.389999
2/6/2023,97.610001
2/13/2023,97.199997
2/20/2023,93.5
2/27/2023,94.900002
3/6/2023,90.730003
3/13/2023,98.949997
3/20/2023,98.129997
3/27/2023,103.290001
4/3/2023,102.059998
4/10/2023,102.510002
4/17/2023,106.959999
4/24/2023,105.449997
5/1/2023,105.660004
5/8/2023,110.260002
5/15/2023,116.25
5/22/2023,120.110001
5/29/2023,124.25
6/5/2023,123.43
6/12/2023,125.489998
6/19/2023,129.330002
6/26/2023,130.360001
7/3/2023,129.779999
7/10/2023,134.679993
7/17/2023,130
7/24/2023,132.210007
7/31/2023,139.570007
8/7/2023,138.410004
8/14/2023,133.220001
8/21/2023,133.259995
8/28/2023,138.119995
9/4/2023,138.229996
9/11/2023,140.389999
9/18/2023,129.119995
9/25/2023,127.120003
10/2/2023,127.959999
10/9/2023,129.789993
10/16/2023,125.169998
10/23/2023,127.739998
10/30/2023,138.600006
11/6/2023,143.559998
11/13/2023,145.179993
11/20/2023,146.740005
11/27/2023,147.029999
12/4/2023,147.419998
12/11/2023,149.970001
12/18/2023,153.419998
12/25/2023,151.940002
1/1/2024,145.240005
1/8/2024,154.619995
1/15/2024,155.339996
1/22/2024,159.119995
1/29/2024,171.809998
2/5/2024,174.449997
2/12/2024,169.509995
2/19/2024,174.990005
2/26/2024,178.220001
3/4/2024,175.350006
3/11/2024,174.419998
3/18/2024,178.869995
3/25/2024,180.380005
4/1/2024,185.070007
